datetime,m3/d
2018-06-15,1911.2167997999998
2018-06-16,1929.6721872
2018-06-17,1906.7932116
2018-06-18,2970.8500617000004
2018-06-19,3728.3990661000003
2018-06-20,5320.3739211
2018-06-21,8014.859719200001
2018-06-22,11400.408850500002
2018-06-23,8895.6881577
2018-06-24,7125.411945600001
2018-06-25,6156.582656400001
2018-06-26,9105.5476521
2018-06-27,20158.8760494
2018-06-28,14212.4841828
2018-06-29,10562.5138635
2018-06-30,9063.6252354
2018-07-01,8500.5722196
2018-07-02,7400.4010686
2018-07-03,6888.213615600001
2018-07-04,6388.1646912
2018-07-05,5804.195947200001
2018-07-06,5308.4502315
2018-07-07,4945.0474782
2018-07-08,4627.010205
2018-07-09,4314.3281397
2018-07-10,4062.3300008999995
2018-07-11,3765.1955607
2018-07-12,4156.1344899000005
2018-07-13,4213.864944
2018-07-14,3823.9693254
2018-07-15,3534.0796656
2018-07-16,3325.6444221
2018-07-17,3114.6618177
2018-07-18,2882.0927816999997
2018-07-19,2764.9863738
2018-07-20,2679.8579028
2018-07-21,2556.5603552999996
2018-07-22,2447.2080189
2018-07-23,2409.8849090999997
2018-07-24,2339.907498
2018-07-25,2323.2767382
2018-07-26,2292.800229
2018-07-27,2226.0111444
2018-07-28,2175.9836508000003
2018-07-29,2103.4094553
2018-07-30,1900.8688536
2018-07-31,1732.462821
2018-08-01,1654.2478826999998
2018-08-02,1621.0554498
2018-08-03,1604.0338181999998
2018-08-04,1705.7740356000002
2018-08-05,1832.3912241
2018-08-06,1685.5199307
2018-08-07,1563.5587518
2018-08-08,1516.0120578000003
2018-08-09,1480.7998386
2018-08-10,1388.7848789999998
2018-08-11,1377.698778
2018-08-12,1387.932102
2018-08-13,1421.1951084
2018-08-14,1470.6965394000001
2018-08-15,1482.1807563000002
2018-08-16,1552.016232
2018-08-17,1570.9362012000001
2018-08-18,1632.4032042
2018-08-19,1656.9900054
2018-08-20,1659.8269439999997
2018-08-21,1659.8269439999997
2018-08-22,1672.68924
2018-08-23,1704.9085371
2018-08-24,1738.9843154999999
2018-08-25,1752.6658365
2018-08-26,1745.825076
2018-08-27,1740.5381393999999
2018-08-28,1775.8450062000002
2018-08-29,1763.734869
2018-08-30,1753.643088
2018-08-31,1747.779579
2018-09-01,1750.7113335000001
2018-09-02,1738.9843154999999
2018-09-03,1696.962501
2018-09-04,2114.8118595
2018-09-05,3033.6439644
2018-09-06,2241.5009067
2018-09-07,2059.1361189000004
2018-09-08,2052.5936949
2018-09-09,1977.3498806999999
2018-09-10,1945.2934692
2018-09-11,1916.1337428
2018-09-12,1874.4769907999998
2018-09-13,1917.8913474
2018-09-14,2039.6731599000002
2018-09-15,1992.4183611
2018-09-16,1950.5005632
2018-09-17,2163.2513814
2018-09-18,3497.6432178
2018-09-19,5517.2237814
2018-09-20,10193.339838599999
2018-09-21,17352.903906
2018-09-22,11197.3153284
2018-09-23,8585.6128785
2018-09-24,7000.8853968
2018-09-25,5975.0435043
2018-09-26,5355.3774771
2018-09-27,4923.470096999999
2018-09-28,4570.7123888999995
2018-09-29,4219.914758399999
2018-09-30,4205.055294899999
2018-10-01,4020.945273
2018-10-02,3775.6066149
2018-10-03,3545.8350066000003
2018-10-04,3275.8939971000004
2018-10-05,3223.185174
2018-10-06,3258.5817915000007
2018-10-07,3300.6076371000004
2018-10-08,3405.4849341000004
2018-10-09,4365.3127527
2018-10-10,17482.8359448
2018-10-11,13832.5958541
2018-10-12,10507.0880916
2018-10-13,8577.155328300001
2018-10-14,7273.699326000001
2018-10-15,6468.6811914
2018-10-16,5829.8555673
2018-10-17,5491.3948542
2018-10-18,5273.6767677
2018-10-19,4897.3813695
2018-10-20,4553.3955699
2018-10-21,4396.3875639
2018-10-22,4223.3331689999995
2018-10-23,4005.9752769
2018-10-24,3839.9568075
2018-10-25,3722.5117007999997
2018-10-26,3686.7291912
2018-10-27,3567.8603736
2018-10-28,3457.6590032999998
2018-10-29,3399.2819946
2018-10-30,3367.3462776
2018-10-31,3262.8293856000005
2018-11-01,3259.9976562000006
2018-11-02,3139.6491567
2018-11-03,3114.4829265000003
2018-11-04,3182.3025057
2018-11-05,3220.3534446
2018-11-06,3486.0348207
2018-11-07,4320.7505181
2018-11-08,5311.2176811
2018-11-09,5752.1582028
2018-11-10,5672.4854508
2018-11-11,5360.4540837
2018-11-12,5070.3464727
2018-11-13,4846.1333625
2018-11-14,4699.185369299999
2018-11-15,4600.0372455
2018-11-16,4184.037861299999
2018-11-17,4009.1700195
2018-11-18,3991.2650046
2018-11-19,3833.4936428999995
2018-11-20,3703.7853216
2018-11-21,3595.6259883000002
2018-11-22,2994.3895968
2018-11-23,2963.4504246
2018-11-24,2862.6316596
2018-11-25,2749.9491792000003
2018-11-26,2756.5004862000005
2018-11-27,2759.1210090000004
2018-11-28,2739.5017155000005
2018-11-29,2707.5762405
2018-11-30,2511.4975101
2018-12-01,2500.5315033
2018-12-02,2510.256231
2018-12-03,2496.6362169
2018-12-04,2468.8700856
2018-12-05,2468.8700856
2018-12-06,2385.5716917
2018-12-07,2380.776561
2018-12-08,2373.9721244999996
2018-12-09,2940.4924883999997
2018-12-10,2974.2118758
2018-12-11,2908.4725872
2018-12-12,2843.5015386
2018-12-13,2698.6811580000003
2018-12-14,2637.8629884
2018-12-15,2761.9146693000002
2018-12-16,2750.2608267
2018-12-17,2597.9364738
2018-12-18,2660.4121410000002
2018-12-19,2739.6748530000004
2018-12-20,2691.0622548
2018-12-21,2735.6401863000006
2018-12-22,2678.3405433000003
2018-12-23,2599.6626810000002
2018-12-24,2558.6661159
2018-12-25,2512.8409572
2018-12-26,2497.911552
2018-12-27,4801.5434862
2018-12-28,8955.7239951
2018-12-29,6541.9547121
2018-12-30,5630.230576800001
2018-12-31,5106.6654426
